Loan_ID,Gender,Married,Education,Self_Employed,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,Graduate,No,1,Urban,Y
LP001003,Male,Yes,Graduate,No,1,Rural,N
LP001005,Male,Yes,Graduate,Yes,1,Urban,Y
LP001006,Male,Yes,Not Graduate,No,1,Urban,Y
LP001008,Male,No,Graduate,No,1,Urban,Y
LP001011,Male,Yes,Graduate,Yes,1,Urban,Y
LP001013,Male,Yes,Not Graduate,No,1,Urban,Y
LP001014,Male,Yes,Graduate,No,0,Semiurban,N
LP001018,Male,Yes,Graduate,No,1,Urban,Y
LP001020,Male,Yes,Graduate,No,1,Semiurban,N
LP001024,Male,Yes,Graduate,No,1,Urban,Y
LP001028,Male,Yes,Graduate,No,1,Urban,Y
LP001029,Male,No,Graduate,No,1,Rural,N
LP001030,Male,Yes,Graduate,No,1,Urban,Y
LP001032,Male,No,Graduate,No,1,Urban,Y
LP001036,Female,No,Graduate,No,0,Urban,N
LP001038,Male,Yes,Not Graduate,No,1,Rural,N
LP001043,Male,Yes,Not Graduate,No,0,Urban,N
LP001046,Male,Yes,Graduate,No,1,Urban,Y
LP001047,Male,Yes,Not Graduate,No,0,Semiurban,N
LP001066,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP001068,Male,Yes,Graduate,No,1,Semiurban,Y
LP001073,Male,Yes,Not Graduate,No,1,Urban,Y
LP001086,Male,No,Not Graduate,No,1,Urban,N
LP001095,Male,No,Graduate,No,1,Urban,N
LP001097,Male,No,Graduate,Yes,1,Rural,N
LP001098,Male,Yes,Graduate,No,1,Semiurban,Y
LP001100,Male,No,Graduate,No,1,Rural,N
LP001106,Male,Yes,Graduate,No,1,Urban,Y
LP001109,Male,Yes,Graduate,No,0,Urban,N
LP001112,Female,Yes,Graduate,No,1,Semiurban,Y
LP001114,Male,No,Graduate,No,1,Urban,Y
LP001116,Male,No,Not Graduate,No,1,Semiurban,Y
LP001119,Male,No,Graduate,No,1,Urban,N
LP001120,Male,No,Graduate,No,1,Urban,Y
LP001131,Male,Yes,Graduate,No,1,Semiurban,Y
LP001136,Male,Yes,Not Graduate,Yes,1,Urban,Y
LP001137,Female,No,Graduate,No,1,Urban,Y
LP001138,Male,Yes,Graduate,No,1,Urban,Y
LP001144,Male,Yes,Graduate,No,1,Urban,Y
LP001146,Female,Yes,Graduate,No,0,Urban,N
LP001151,Female,No,Graduate,No,1,Semiurban,Y
LP001155,Female,Yes,Not Graduate,No,1,Semiurban,Y
LP001157,Female,No,Graduate,No,1,Semiurban,Y
LP001164,Female,No,Graduate,No,1,Semiurban,N
LP001179,Male,Yes,Graduate,No,1,Urban,N
LP001186,Female,Yes,Graduate,Yes,0,Urban,N
LP001194,Male,Yes,Graduate,No,1,Semiurban,Y
LP001195,Male,Yes,Graduate,No,1,Semiurban,Y
LP001197,Male,Yes,Graduate,No,1,Rural,N
LP001198,Male,Yes,Graduate,No,1,Urban,Y
LP001199,Male,Yes,Not Graduate,No,1,Urban,Y
LP001205,Male,Yes,Graduate,No,1,Urban,Y
LP001206,Male,Yes,Graduate,No,1,Urban,Y
LP001207,Male,Yes,Not Graduate,Yes,0,Rural,N
LP001213,Male,Yes,Graduate,No,0,Rural,N
LP001222,Female,No,Graduate,No,0,Semiurban,N
LP001225,Male,Yes,Graduate,No,1,Semiurban,N
LP001228,Male,No,Not Graduate,No,0,Urban,N
LP001233,Male,Yes,Graduate,No,1,Urban,Y
LP001238,Male,Yes,Not Graduate,Yes,1,Urban,Y
LP001241,Female,No,Graduate,No,0,Semiurban,N
LP001243,Male,Yes,Graduate,No,1,Urban,Y
LP001245,Male,Yes,Not Graduate,Yes,1,Semiurban,Y
LP001248,Male,No,Graduate,No,1,Semiurban,Y
LP001250,Male,Yes,Not Graduate,No,0,Semiurban,N
LP001253,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP001255,Male,No,Graduate,No,1,Urban,N
LP001256,Male,No,Graduate,No,1,Urban,N
LP001259,Male,Yes,Graduate,Yes,1,Urban,N
LP001263,Male,Yes,Graduate,No,0,Semiurban,N
LP001265,Female,No,Graduate,No,1,Semiurban,Y
LP001266,Male,Yes,Graduate,Yes,1,Semiurban,Y
